"","product_category_name","review_score","review_comment_message"
"1","cool_stuff",5,"Perfeito, produto entregue antes do combinado."
"2","moveis_decoracao",5,"Chegou antes do prazo previsto e o produto surpreendeu pela qualidade. Muito satisfatório."
"3","ferramentas_jardim",5,"Gostei pois veio no prazo determinado ."
"4","beleza_saude",1,"Na descrição do produto quando fui efetuar a compra, estava detalhado os pentes de disfarce.
Quando recebe o produto verifiquei e notei que não havia os pentes 0.5 e 1.5"
"5","beleza_saude",5,"A caixa do produto veio com uma pequena avariação, mas de resto veio perfeito..."
"6","fashion_bolsas_e_acessorios",5,"Fiquei um pouco triste, achei que a cor do coração seria verde, conforme a foto..... Mas depois que recebi o coração cor de rosa que fui ver que são imagens ilustrativas...... 😥"
"7","cama_mesa_banho",5,"Excelente serviço de compras on line."
"8","perfumaria",1,"Mudo minha opinião assim que receber o produto.
Consta no site que o produto foi entregue, mas não recebi."
"9","esporte_lazer",5,"Recebi td certinho antes do prazo! "
"10","cool_stuff",3,"Bom produto"
